DatabaseName	MetricName	MetricType	MetricValue	PricePerMonth	RegionName	SqlMiEquivalentCores	IsTierRecommended	ExclusionReasons	AppliedRules
aspnetdb	CAN_RUN	DTU_STANDARD_TIER	S0	15.03	defaultregion	0.1	True		
aspnetdb	CAN_RUN	DTU_PREMIUM_TIER	P1	462.40	defaultregion	1	False	This database is hosted on an HDD. It is more suited to the standard / general purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	DbDriveType;S2OrLower
aspnetdb	CAN_RUN	VCORE_GENERAL_PURPOSE	GP_GEN4_1	229.58	defaultregion	1	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	S2OrLower
aspnetdb	CAN_RUN	VCORE_GENERAL_PURPOSE_GEN5	GP_GEN5_2	458.58	defaultregion	1	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	S2OrLower
aspnetdb	CAN_RUN	VCORE_BUSINESS_CRITICAL	BC_GEN4_1	593.77	defaultregion	1	False	This database is hosted on an HDD. It is more suited to the standard / general purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	DbDriveType;S2OrLower
aspnetdb	CAN_RUN	VCORE_BUSINESS_CRITICAL_GEN5	BC_GEN5_2	1186.37	defaultregion	1	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	S2OrLower
reportserver	CAN_RUN	DTU_STANDARD_TIER	S0	15.03	defaultregion	0.1	True		
reportserver	CAN_RUN	DTU_PREMIUM_TIER	P2	930.00	defaultregion	2	False	This database is hosted on an HDD. It is more suited to the standard / general purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	DbDriveType;S2OrLower
reportserver	CAN_RUN	VCORE_GENERAL_PURPOSE	GP_GEN4_1	229.58	defaultregion	1	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	S2OrLower
reportserver	CAN_RUN	VCORE_GENERAL_PURPOSE_GEN5	GP_GEN5_2	458.58	defaultregion	1	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	S2OrLower
reportserver	CAN_RUN	VCORE_BUSINESS_CRITICAL	BC_GEN4_1	593.77	defaultregion	1	False	This database is hosted on an HDD. It is more suited to the standard / general purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	DbDriveType;S2OrLower
reportserver	CAN_RUN	VCORE_BUSINESS_CRITICAL_GEN5	BC_GEN5_2	1186.37	defaultregion	1	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	S2OrLower
reportservertempdb	CAN_RUN	DTU_STANDARD_TIER	S0	15.03	defaultregion	0.1	True		
reportservertempdb	CAN_RUN	DTU_PREMIUM_TIER	P1	462.40	defaultregion	1	False	This database is hosted on an HDD. It is more suited to the standard / general purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	DbDriveType;S2OrLower
reportservertempdb	CAN_RUN	VCORE_GENERAL_PURPOSE	GP_GEN4_1	229.58	defaultregion	1	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	S2OrLower
reportservertempdb	CAN_RUN	VCORE_GENERAL_PURPOSE_GEN5	GP_GEN5_2	458.58	defaultregion	1	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	S2OrLower
reportservertempdb	CAN_RUN	VCORE_BUSINESS_CRITICAL	BC_GEN4_1	593.77	defaultregion	1	False	This database is hosted on an HDD. It is more suited to the standard / general purpose tiers.;This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	DbDriveType;S2OrLower
reportservertempdb	CAN_RUN	VCORE_BUSINESS_CRITICAL_GEN5	BC_GEN5_2	1186.37	defaultregion	1	False	This database appears to have very light traffic. It will be most cost-effective to host it on the Standard Tier.	S2OrLower
